Player,deciles,variable,type_variable
N. Elvedi,95,Passes per 90,Buildup
N. Elvedi,8,Fouls suffered per 90,Chance creation
N. Elvedi,3,Dribbles per 90,Chance creation
N. Elvedi,4,Successful_dribbles,Chance creation
N. Elvedi,2,Penalties taken,Finishing
N. Elvedi,2,Penalties_won,Finishing
M. Ginter,37,xG per 90,Finishing
M. Ginter,11,xA per 90,Buildup
M. Ginter,42,Touches in box per 90,Chance creation
M. Ginter,29,Progressive runs per 90,Buildup
M. Ginter,20,Back passes per 90,Positioning
M. Ginter,89,Lateral passes per 90,Positioning
M. Ginter,78,"Average long pass length, m",Buildup
M. Ginter,11,Key passes per 90,Buildup
M. Ginter,32,Shots per 90,Positioning
M. Ginter,21,shots,Finishing
M. Ginter,89,Progressive passes per 90,Buildup
M. Ginter,31,Sliding tackles per 90,Defense
M. Ginter,83,Passes per 90,Buildup
M. Ginter,34,Fouls suffered per 90,Chance creation
M. Ginter,4,Dribbles per 90,Chance creation
M. Ginter,10,Successful_dribbles,Chance creation
M. Ginter,2,Penalties taken,Finishing
M. Ginter,2,Penalties_won,Finishing
P. Lienhart,24,xG per 90,Finishing
P. Lienhart,1,xA per 90,Buildup
P. Lienhart,22,Touches in box per 90,Chance creation
P. Lienhart,43,Progressive runs per 90,Buildup
P. Lienhart,24,Back passes per 90,Positioning
P. Lienhart,96,Lateral passes per 90,Positioning
P. Lienhart,100,"Average long pass length, m",Buildup
P. Lienhart,13,Key passes per 90,Buildup
P. Lienhart,23,Shots per 90,Positioning
P. Lienhart,41,shots,Finishing
P. Lienhart,73,Progressive passes per 90,Buildup
P. Lienhart,49,Sliding tackles per 90,Defense
P. Lienhart,87,Passes per 90,Buildup
P. Lienhart,53,Fouls suffered per 90,Chance creation
P. Lienhart,10,Dribbles per 90,Chance creation
P. Lienhart,11,Successful_dribbles,Chance creation
P. Lienhart,2,Penalties taken,Finishing
P. Lienhart,2,Penalties_won,Finishing
M. van de Ven,31,xG per 90,Finishing
M. van de Ven,11,xA per 90,Buildup
M. van de Ven,20,Touches in box per 90,Chance creation
M. van de Ven,67,Progressive runs per 90,Buildup
M. van de Ven,31,Back passes per 90,Positioning
M. van de Ven,90,Lateral passes per 90,Positioning
M. van de Ven,92,"Average long pass length, m",Buildup
M. van de Ven,11,Key passes per 90,Buildup
M. van de Ven,25,Shots per 90,Positioning
M. van de Ven,81,shots,Finishing
M. van de Ven,59,Progressive passes per 90,Buildup
M. van de Ven,49,Sliding tackles per 90,Defense
M. van de Ven,77,Passes per 90,Buildup
M. van de Ven,31,Fouls suffered per 90,Chance creation
M. van de Ven,31,Dribbles per 90,Chance creation
M. van de Ven,26,Successful_dribbles,Chance creation
M. van de Ven,2,Penalties taken,Finishing
M. van de Ven,2,Penalties_won,Finishing
Tuta,37,xG per 90,Finishing
Tuta,11,xA per 90,Buildup
Tuta,40,Touches in box per 90,Chance creation
Tuta,42,Progressive runs per 90,Buildup
Tuta,37,Back passes per 90,Positioning
Tuta,91,Lateral passes per 90,Positioning
Tuta,88,"Average long pass length, m",Buildup
Tuta,11,Key passes per 90,Buildup
Tuta,32,Shots per 90,Positioning
Tuta,63,shots,Finishing
Tuta,97,Progressive passes per 90,Buildup
Tuta,61,Sliding tackles per 90,Defense
Tuta,92,Passes per 90,Buildup
Tuta,24,Fouls suffered per 90,Chance creation
Tuta,26,Dribbles per 90,Chance creation
Tuta,24,Successful_dribbles,Chance creation
Tuta,2,Penalties taken,Finishing
Tuta,2,Penalties_won,Finishing
K. Mavropanos,68,xG per 90,Finishing
K. Mavropanos,28,xA per 90,Buildup
K. Mavropanos,57,Touches in box per 90,Chance creation
K. Mavropanos,54,Progressive runs per 90,Buildup
K. Mavropanos,16,Back passes per 90,Positioning
K. Mavropanos,91,Lateral passes per 90,Positioning
K. Mavropanos,95,"Average long pass length, m",Buildup
K. Mavropanos,21,Key passes per 90,Buildup
K. Mavropanos,67,Shots per 90,Positioning
K. Mavropanos,64,shots,Finishing
K. Mavropanos,88,Progressive passes per 90,Buildup
K. Mavropanos,39,Sliding tackles per 90,Defense
K. Mavropanos,83,Passes per 90,Buildup
K. Mavropanos,47,Fouls suffered per 90,Chance creation
K. Mavropanos,53,Dribbles per 90,Chance creation
K. Mavropanos,51,Successful_dribbles,Chance creation
K. Mavropanos,2,Penalties taken,Finishing
K. Mavropanos,2,Penalties_won,Finishing
Diogo Leite,17,xG per 90,Finishing
Diogo Leite,11,xA per 90,Buildup
Diogo Leite,15,Touches in box per 90,Chance creation
Diogo Leite,39,Progressive runs per 90,Buildup
Diogo Leite,41,Back passes per 90,Positioning
Diogo Leite,81,Lateral passes per 90,Positioning
Diogo Leite,66,"Average long pass length, m",Buildup
Diogo Leite,13,Key passes per 90,Buildup
Diogo Leite,8,Shots per 90,Positioning
Diogo Leite,1,shots,Finishing
Diogo Leite,93,Progressive passes per 90,Buildup
Diogo Leite,55,Sliding tackles per 90,Defense
Diogo Leite,82,Passes per 90,Buildup
Diogo Leite,51,Fouls suffered per 90,Chance creation
Diogo Leite,16,Dribbles per 90,Chance creation
Diogo Leite,18,Successful_dribbles,Chance creation
Diogo Leite,2,Penalties taken,Finishing
Diogo Leite,2,Penalties_won,Finishing
K. Itakura,17,xG per 90,Finishing
K. Itakura,11,xA per 90,Buildup
K. Itakura,29,Touches in box per 90,Chance creation
K. Itakura,58,Progressive runs per 90,Buildup
K. Itakura,64,Back passes per 90,Positioning
K. Itakura,98,Lateral passes per 90,Positioning
K. Itakura,84,"Average long pass length, m",Buildup
K. Itakura,24,Key passes per 90,Buildup
K. Itakura,26,Shots per 90,Positioning
K. Itakura,19,shots,Finishing
K. Itakura,71,Progressive passes per 90,Buildup
K. Itakura,67,Sliding tackles per 90,Defense
K. Itakura,97,Passes per 90,Buildup
K. Itakura,23,Fouls suffered per 90,Chance creation
K. Itakura,20,Dribbles per 90,Chance creation
K. Itakura,17,Successful_dribbles,Chance creation
K. Itakura,2,Penalties taken,Finishing
K. Itakura,2,Penalties_won,Finishing
D. Doekhi,37,xG per 90,Finishing
D. Doekhi,1,xA per 90,Buildup
D. Doekhi,16,Touches in box per 90,Chance creation
D. Doekhi,15,Progressive runs per 90,Buildup
D. Doekhi,21,Back passes per 90,Positioning
D. Doekhi,57,Lateral passes per 90,Positioning
D. Doekhi,94,"Average long pass length, m",Buildup
D. Doekhi,13,Key passes per 90,Buildup
D. Doekhi,18,Shots per 90,Positioning
D. Doekhi,11,shots,Finishing
D. Doekhi,58,Progressive passes per 90,Buildup
D. Doekhi,62,Sliding tackles per 90,Defense
D. Doekhi,51,Passes per 90,Buildup
D. Doekhi,17,Fouls suffered per 90,Chance creation
D. Doekhi,7,Dribbles per 90,Chance creation
D. Doekhi,9,Successful_dribbles,Chance creation
D. Doekhi,2,Penalties taken,Finishing
D. Doekhi,2,Penalties_won,Finishing
W. Orban,56,xG per 90,Finishing
W. Orban,1,xA per 90,Buildup
W. Orban,47,Touches in box per 90,Chance creation
W. Orban,29,Progressive runs per 90,Buildup
W. Orban,12,Back passes per 90,Positioning
W. Orban,100,Lateral passes per 90,Positioning
W. Orban,80,"Average long pass length, m",Buildup
W. Orban,1,Key passes per 90,Buildup
W. Orban,33,Shots per 90,Positioning
W. Orban,20,shots,Finishing
W. Orban,92,Progressive passes per 90,Buildup
W. Orban,71,Sliding tackles per 90,Defense
W. Orban,99,Passes per 90,Buildup
W. Orban,53,Fouls suffered per 90,Chance creation
W. Orban,18,Dribbles per 90,Chance creation
W. Orban,15,Successful_dribbles,Chance creation
W. Orban,2,Penalties taken,Finishing
W. Orban,2,Penalties_won,Finishing
O. Kabak,37,xG per 90,Finishing
O. Kabak,41,xA per 90,Buildup
O. Kabak,34,Touches in box per 90,Chance creation
O. Kabak,45,Progressive runs per 90,Buildup
O. Kabak,26,Back passes per 90,Positioning
O. Kabak,79,Lateral passes per 90,Positioning
O. Kabak,94,"Average long pass length, m",Buildup
O. Kabak,21,Key passes per 90,Buildup
O. Kabak,41,Shots per 90,Positioning
O. Kabak,35,shots,Finishing
O. Kabak,58,Progressive passes per 90,Buildup
O. Kabak,39,Sliding tackles per 90,Defense
O. Kabak,70,Passes per 90,Buildup
O. Kabak,21,Fouls suffered per 90,Chance creation
O. Kabak,44,Dribbles per 90,Chance creation
O. Kabak,48,Successful_dribbles,Chance creation
O. Kabak,2,Penalties taken,Finishing
O. Kabak,2,Penalties_won,Finishing
F. Uduokhai,1,xG per 90,Finishing
F. Uduokhai,11,xA per 90,Buildup
F. Uduokhai,4,Touches in box per 90,Chance creation
F. Uduokhai,24,Progressive runs per 90,Buildup
F. Uduokhai,22,Back passes per 90,Positioning
F. Uduokhai,71,Lateral passes per 90,Positioning
F. Uduokhai,87,"Average long pass length, m",Buildup
F. Uduokhai,17,Key passes per 90,Buildup
F. Uduokhai,1,Shots per 90,Positioning
F. Uduokhai,1,shots,Finishing
F. Uduokhai,76,Progressive passes per 90,Buildup
F. Uduokhai,68,Sliding tackles per 90,Defense
F. Uduokhai,68,Passes per 90,Buildup
F. Uduokhai,36,Fouls suffered per 90,Chance creation
F. Uduokhai,19,Dribbles per 90,Chance creation
F. Uduokhai,18,Successful_dribbles,Chance creation
F. Uduokhai,2,Penalties taken,Finishing
